target	raw_chars
3	请问哪位亲知道昆明长水机场里面的中国银行可以兑换外币吗?
3	昆明长水机场手机充电区在哪?
5	如何填写出入境申报书
5	坐飞机租用轮椅流程
5	登机手续从何时可以开始办理
4	昆明长水机场t1航站楼有电瓶车吗
4	机场负责行李打包吗
4	国际机场有建行和交行的ATM机吗？
5	昆明长水机场里面的wifi怎么用
3	可以随身携带的行李限额是多少
4	昆明长水机场有4g网吗
5	昆明长水机场的交行atm可以存钱吗
5	昆明长水机场有老人无人陪护送上飞机吗？
5	昆明长水机场停车场能抽烟不
3	昆明长水T2航站楼哪里有手机充电的地方
4	机场有设置军人优先通道吗？
5	办理值机需要什么证件
4	昆明长水机场可以寄存行李吗？
4	机场有没有为过境旅客办理旅游团
3	昆明长水机场镇邮政编码
3	昆明长水机场1号航站楼取款机在哪
3	机场的问讯中心位置在哪
3	昆明长水机场办理临时身份证24小时都可以办理吗？
3	谁知道昆明长水机场警务室电话号码多少
4	昆明长水机场 外币兑换
4	民生银行昆明长水机场贵宾厅需要预约吗?
5	昆明长水机场国内出发可以在免税店买东西吗？
1	昆明长水机场T2航站楼附近有什么酒店啊？
0	中欧国际工商学院到昆明长水机场怎么走
4	坐飞机到达昆明长水国际机场，在机场里有没有免费休息的场所？
4	昆明长水机场没有插座可以充电的吗
3	昆明长水机场贵宾通道走一次多少钱?
5	如果退人民币，汇率怎么算？
4	昆明长水机场附近有什么地方可以吃饭的
4	机场有行李寄存处吗
4	哪路公车到达昆明长水机场急救中心？？
0	机场T2航站楼到T3航站楼，都有哪些走法？
4	昆明长水机场有贵宾室吗？
3	这个昆明长水机场连接的wifi是免费的吗？为什么要链接微信才能上网
5	昆明长水机场的行李寄存处的寄存要求
4	机场登机时安检时遗忘的物品如何找回
5	昆明长水机场用港币兑换人民币的详细流程？
0	中国工商银行昆明长水支行西南航空港分理处在哪里
0	昆明长水长水国际机场和巫家坝机场是一个吗
4	昆明长水国际机场有公用电话么？
5	登机口信息和机场广播不一致怎么办
4	昆明长水机场t3航站楼里有顺丰快递吗
4	昆明长水机场可以寄存行李吗
3	昆明长水国际机场停车一天收费多少？
5	昆明长水机场的贵宾休息室有独卫吗？
1	哪些物品不让托运
4	昆明长水机场
1	请问昆明长水国际机场有哪几家航空公司？
5	真功夫 机场店怎么样
0	北京昆明长水国际机场3号航站楼和1、2号有什么不同？
0	上海国际机场离国内机场多远
4	昆明长水机场有招商银行提款机吗
4	昆明长水机场有正规出租车吗
4	机场可以买航空意外险吗
5	转机需要重新打印登机牌吗
5	关于办理无人陪伴儿童登机手续
4	境外旅游wifi在昆明长水机场能租到吗？
3	昆明长水机场t3航站楼附近工行提款机在哪？
5	昆明长水特区五日签证可从昆明长水机场出关吗?
3	昆明长水机场里面的取款机是那个银行的
5	航空意外险要买吗
4	到昆明长水机场后怎么取行李
4	昆明长水机场里面有顺丰快递和同城快递么？
