question	valid	schema	type	entity	abs	relation	limit	list	is_or_not
如何办理自助值机		柜台	有实体但cqa	值机					
如何办理退票、改签		其他	其他		办理退票、改签				
值机什么时候开放	2	柜台	有实体但cqa	值机					
如何预约选座		其他	其他						
如何办理微信值机		柜台	有实体但cqa		办理微信值机				
什么时间段可以自助值机	2	柜台	有实体但cqa	值机		时间段	自助		
什么时间段可以人工值机	2	柜台	有实体但cqa	值机		时间段	人工		
国航的值机柜台在哪里	1	柜台	实体属性问询	值机柜台		哪里	国航		
办理值机需要什么证件	2	柜台	有实体但cqa	值机					
登机牌不小心丢了怎么办		登机过检	有实体但cqa	登机					
昆明长水机场办理临时身份证需要什么条件		设施类	有实体但cqa		办理临时身份证				
有户籍证明可以不用办理临时乘机证明直接办理登机牌吗？		其他	有实体但cqa						
昆明长水机场可以办临时身份证吗？		设施类	有实体但cqa		办临时身份证				
老人乘飞机申请陪护如何办理		出行类	有实体但cqa	老人					
机场可以买航空意外险吗		设施类	实体查询	航空意外险					
昆明长水机场T3捷运如果坐过站怎么办？		出行类	有实体但cqa		捷运				
如果要在昆明长水机场办理临时乘机证明需要带些什么		其他	有实体但cqa		办理临时乘机证明				
在昆明长水机场办理临时乘机证明可不可以提前几天先去办理		其他	有实体但cqa		办理临时乘机证明				
昆明长水航空公司在昆明长水国际机场的值机位在哪？	1	柜台	实体属性问询	值机位		在哪	昆明长水航空公司		
昆明长水机场t2航站楼可以提前6小时进去侯机吗？	2	设施类	有实体但cqa	侯机		提前6小时	t2航站楼		
昆明长水机场航站楼	1	设施类	实体查询	航站楼					
昆明长水机场t3航站楼临时身份证办理哪里	1	设施类	实体属性问询	临时身份证办理		哪里	昆明长水机场t3航站楼		
"签证到期前一天,可以在昆明长水机场出境吗"		海关过境	有实体但cqa	出境			签证到期前一天		
昆明长水机场没带身份证能不能领登机牌啊		其他	有实体但cqa						
登机口信息和机场广播不一致怎么办		其他	有实体但cqa						
起飞前多久开始登机	2	登机过检	有实体但cqa	登机		起飞前多久			
怎么起飞前多长时间停止登机	2	登机过检	有实体但cqa	登机		多长时间			
请问昆明长水国际机场有哪几家航空公司？	1	航空公司	列举	航空公司				有哪几家	
昆明长水国际机场有那几家航空公司？	1	航空公司	列举	航空公司				有那几家	
长沙国际机场T1航站楼和T2 都飞什么航空公司啊	1	航空公司	列举	航空公司			T1航站楼和T2	都飞什么	
行李的托运标准是什么	1	行李	实体属性问询	行李的托运		标准			
超重行李怎么收费	1	行李	实体属性问询	行李		收费	超重		
托运行李损坏或者丢失了怎么赔偿		行李	有实体但cqa	托运行李		赔偿			
行李寄存怎么收费	1	行李	实体属性问询	行李寄存		收费			
托运行李没和航班一起到达怎么办		行李	有实体但cqa	托运行李					
行李的包装有没有要求	1	行李	有实体但cqa	行李		包装			
可以随身携带的行李限额是多少	1	行李	实体属性问询	行李		限额	随身携带		
国际航班每人可以免费托运几件行李		行李	实体属性问询		托运几件行李		国际航班		
哪些物品不让带上飞机	1	行李安检	列举		带上飞机		不让	哪些	
哪些物品不让托运	1	行李	列举	托运			不让	哪些	
飞机上的行李托运需要打包吗		行李	有实体但cqa	行李托运					
昆明长水机场如何行李寄存		行李	有实体但cqa	行李寄存					
可以把行李托运到昆明长水国际机场侯机楼邮政所然后自取吗		行李	有实体但cqa	行李托运					
昆明长水国际机场日上买的东西回来时可以不取吗?		购物类	有实体但cqa	日上					
昆明长水国际机场日上买的东西回来时只取清单中的一部分可不可以？		购物类	有实体但cqa	日上					
请问一下，如果在国际机场要打包行李，拉杆行李箱可以打包吗		行李	有实体但cqa		打包行李				
昆明长水机场 行李携带	1	行李	实体查询	行李携带					
请问一下，如果在国际机场要打包行李，拉杆行李箱可以打包吗		行李	有实体但cqa		打包行李				
昆明长水机场出国行李打包多钱	1	行李	实体属性问询	行李打包		多钱			
在昆明长水站托运行李 需要自己把行李包装好吗？		行李	有实体但cqa						
昆明长水机场电池规定容量是多大	1	行李安检	实体属性问询	电池		规定容量			
机场托运包问题。		行李	实体查询	机场托运					
昆明长水机场 寄存行李 可不可以寄存十几天的时间？	1	行李	实体属性问询	寄存行李		时间			
搭乘飞机时，提前多久到达机场比较好	1	登机过检	有实体但cqa	搭乘飞机		提前多久			
登机手续从何时可以开始办理	1	登机过检	有实体但cqa	登机		何时可以开始			
初次坐飞机，有哪些需要注意的？		其他	其他						
身份证过期，重新办理的身份证还没下来，如何办理登机牌		登机过检	有实体但cqa		办理登机				
可以在机场过夜吗		住宿类	实体查询		过夜				
去哪里取票呢	1	设施类	实体查询		取票	哪里			
咨询机场机票团购服务，谢谢		设施类	实体查询		机票团购				
去哪里开行程单呢	1	设施类	实体查询		开行程单	哪里			
